hiver_2015,hiver_2016,permeabilite_sol,resistance,au_dessus_60e_parallele
-41.34879825,-10.68182986,10.34728146,0.803157296,oui
-36.30832805,-8.560262697,13.43175998,-1.307156892,oui
-35.70694677,-7.980803776,9.855522219,1.370246451,oui
-35.22340138,-9.267869864,12.17920842,-1.410446116,oui
-34.31402629,-7.435059719,9.916976776,1.381773291,oui
-34.08860223,-8.679108482,13.32413038,-1.392670117,oui
-33.19184621,-9.550013453,12.63635229,-1.392670117,oui
-32.97006389,-9.091935009,9.460724212,-0.343824637,oui
-32.73232013,-7.815707857,7.328218342,1.034771586,oui
-32.66300348,-13.55236385,9.409931206,0.642031925,oui
-32.63084899,-10.15171233,8.72993385,-1.257223602,oui
-32.53486772,-8.026929284,7.61736035,-0.833780174,oui
-32.39637597,-6.256211871,8.883868102,1.153252282,oui
-32.22562468,-10.28521781,9.790702532,-0.499011777,oui
-32.11700893,-12.40576469,11.25885435,1.390438968,oui
-31.89298947,-10.62730862,10.09696123,-0.959385954,oui
-31.7957199,-15.78224756,12.49327059,0.264374828,oui
-31.27493439,-11.97162638,9.374199433,-1.340083615,oui
-31.268311,-14.39708381,8.669641172,0.858851062,oui
-31.16793536,-7.629442053,11.10114343,1.376225513,oui
-31.09113437,-7.551319627,9.517315246,1.412383373,oui
-30.94186469,-10.59610073,10.96046733,0.121875919,oui
-30.85178617,-7.695255971,10.35629455,-0.343824637,oui
-30.759528,-9.895407181,11.39910526,0.823636811,oui
-30.62898265,-8.019158221,7.31772732,-0.63085344,oui
-30.59993408,-11.94163573,10.60719003,-1.160452263,oui
-30.57708959,-13.16452654,9.148383267,1.390438968,oui
-30.54986822,-9.196430451,7.794284354,0.146797988,oui
-30.31531597,-14.54930067,11.80116785,-1.412964675,oui
-30.24141521,-7.064544593,8.716239134,-0.888379949,oui
-30.09277963,-8.666072969,11.5101341,-1.412964675,oui
-30.04486402,-10.88009934,8.705316102,-0.888379949,oui
-29.91099171,-9.276130235,10.08287088,-1.104275898,oui
-29.86020897,-7.586834452,11.31000434,1.376225513,oui
-29.75425608,-12.71835784,8.130292624,-1.008812136,oui
-29.73610879,-10.70938022,11.03935008,0.702591175,oui
-29.68550726,-6.218915726,11.106132,1.112052784,oui
-29.67703137,-13.54859305,9.130759534,0.355953231,oui
-29.67527262,-7.813309265,11.6149761,0.66423712,oui
-29.58144505,-5.312800278,6.866135916,1.251442223,oui
-29.52242724,-12.80001645,13.86718966,0.680754788,oui
-29.4037196,-13.67238903,10.61183755,0.823636811,oui
-29.37841906,-10.6468163,9.258043317,-1.392670117,oui
-29.31772603,-7.711507792,7.135719241,0.858851062,oui
-29.28384869,-9.895898823,11.52584562,1.410888853,oui
-29.23639467,-4.941390911,10.81008693,-0.499011777,oui
-29.21426008,-14.58794931,12.03297532,-0.252067502,oui
