;longitude;latitude;altitude;type_habitat
4615;1,195211533;-2,184525374;19;2
3915;-1,352191475;-2,180299418;0;1
1213;1,142500061;-2,162207528;19;2
5574;-1,660502183;-2,153251237;0;1
584;-1,899432126;-2,1242585;0;1
3623;-0,295780148;-2,082899075;0;1
2331;-1,560363024;-2,078483311;0;1
4122;1,761092111;-2,072586618;26;2
2674;-1,417996352;-2,067783826;0;1
5449;-0,091115945;-2,067669367;0;1
4970;-1,06142099;-2,058083037;0;1
4266;1,858120135;-2,057218932;23;2
2046;1,259643817;-2,056219641;22;2
2847;2,031345721;-2,053241477;17;2
3864;-0,820216874;-2,053063952;0;1
534;0,233078715;-2,051298257;0;1
2752;0,6071646;-2,049511981;21;1
5430;0,849287831;-2,04844998;11;1
4763;1,077911656;-2,047305516;21;2
3271;-1,259554324;-2,046865156;0;1
2834;-0,089490481;-2,043864058;0;1
3428;-1,073968341;-2,042661441;0;1
1682;0,35509718;-2,04215478;0;1
1004;-0,367375539;-2,037997672;0;1
5980;1,71261289;-2,033374536;27;2
5701;-0,700175194;-2,030809173;0;1
4263;-1,676055155;-2,029831642;0;1
2104;-1,352740198;-2,028127131;0;1
3926;0,706489738;-2,027160945;25;1
3111;-0,123150153;-2,02162719;0;1
3833;-1,829309004;-2,019887977;0;1
3451;0,904637798;-2,016520801;23;1
5984;-1,635429889;-2,016072144;0;1
655;1,588003581;-2,012940231;22;2
927;-0,419518325;-2,011304689;0;1
3411;-2,039872954;-2,005765098;0;1
813;1,716679292;-2,005579546;18;2
585;0,57457549;-2,001535236;29;1
760;-0,911619472;-2,001533986;0;1
3622;1,323335993;-2,001311514;8;2
4130;-1,467248596;-1,998765819;0;1
361;0,83467394;-1,998161095;22;1
3859;0,498737159;-1,994860348;0;1
4474;0,879020369;-1,994207838;16;1
589;-1,468532885;-1,991097774;0;1
4282;0,754243978;-1,989543776;29;1
3861;-0,071848006;-1,987465262;0;1
2796;0,696039472;-1,986655252;23;1
3890;-0,532035544;-1,985998491;0;1
4459;0,59308453;-1,985207673;19;1
2949;1,981254425;-1,981545352;16;2
5078;0,357840398;-1,981062777;0;1
3684;0,433923248;-1,979994048;0;1
5586;0,748998302;-1,979481354;23;1
2618;-1,156890389;-1,978548291;0;1
3211;1,606691921;-1,978489731;29;2
2915;-1,798992956;-1,978351512;0;1
1788;-1,697277497;-1,978341853;0;1
4363;2,030336643;-1,977995516;16;2
167;-1,330153058;-1,977022122;0;1
1517;1,234959951;-1,976416533;21;2
1814;0,904610073;-1,976414495;8;1
5327;-0,122726363;-1,975073558;0;1
4290;1,334645732;-1,974972748;29;2
5973;-0,308139126;-1,974200438;0;1
1935;0,700048433;-1,9724364;15;1
4599;0,051498381;-1,97200114;0;1
3201;1,20591148;-1,969184939;17;2
1660;-0,857537348;-1,969073497;0;1
1832;0,836099556;-1,967573067;16;1
1640;1,271616783;-1,966559615;22;2
4112;1,694314377;-1,966446265;30;2
578;1,498462204;-1,963761526;24;2
3380;-0,004107044;-1,963361447;0;1
2774;2,017377953;-1,96263657;17;2
3315;1,535658712;-1,962418422;17;2
4087;0,792323686;-1,962161949;23;1
3348;-1,988310627;-1,961676119;0;1
2997;0,674760725;-1,960225425;8;1
359;-0,858166611;-1,957577233;0;1
1152;1,04935935;-1,957367137;13;2
4361;-0,089827292;-1,956644264;0;1
3160;-0,734211969;-1,956185738;0;1
4816;0,400967783;-1,953083717;0;1
1453;-1,169438082;-1,952838073;0;1
3085;-0,100026504;-1,952420173;0;1
3220;-1,32376674;-1,952189943;0;1
2189;-0,132826046;-1,949080654;0;1
1181;-0,389521507;-1,949048174;0;1
4114;-0,243399923;-1,948517043;0;1
2057;-1,372330401;-1,948466641;0;1
369;0,903898136;-1,945598939;28;2
271;-1,005550647;-1,944511078;0;1
2124;-1,832825055;-1,944362917;0;1
1043;1,14303217;-1,942535224;26;2
2229;-0,060549422;-1,941450227;0;1
5471;-0,457581045;-1,940162556;0;1
2651;-1,801137571;-1,940117941;0;1
1470;-1,893810144;-1,935434526;0;1
5946;-0,299903854;-1,935387322;0;1
3753;-1,165062959;-1,935196236;0;1
5080;1,3092563;-1,934097381;11;2
5644;-0,305243388;-1,933711724;0;1
1386;0,502754526;-1,933251629;22;1
4574;0,856147764;-1,932725423;24;1
5653;1,080571259;-1,932562752;13;2
482;1,625184129;-1,931841108;30;2
1165;-2,082634111;-1,931832031;0;1
1315;1,542449434;-1,931636388;25;2
1610;-1,714973366;-1,929319617;0;1
1845;0,728925737;-1,92859913;17;1
1226;-0,706122236;-1,926510053;0;1
1522;0,498491127;-1,925251561;0;1
3906;-1,518643651;-1,924779792;0;1
477;0,304734596;-1,920902577;0;1
1037;-1,925757496;-1,92009647;0;1
3903;-0,132567887;-1,919581577;0;1
2235;0,460632315;-1,91689469;0;1
551;-0,5139101;-1,916573068;0;1
3478;0,250387694;-1,915590105;0;1
741;-1,462678462;-1,915546358;0;1
4587;1,140388394;-1,912144329;9;2
101;0,013979734;-1,911138056;0;1
303;0,135500747;-1,910440825;0;1
3689;-1,98224783;-1,90945112;0;1
2150;-0,922830586;-1,909108038;0;1
3172;-0,924932723;-1,908473702;0;1
1730;1,421338369;-1,907499548;28;2
5329;-1,48638578;-1,90745131;0;1
4718;0,467799502;-1,907156569;0;1
4740;0,956339177;-1,907128027;24;2
4670;-0,034512595;-1,906774069;0;1
1882;0,402092157;-1,904995259;0;1
1650;-0,113956426;-1,904625646;0;1
4187;1,759857428;-1,903644036;23;2
114;0,483885991;-1,902800838;0;1
2744;1,298077613;-1,901093954;24;2
3631;1,659644715;-1,900593293;8;2
187;-0,813131523;-1,900168745;0;1
3895;-1,923813925;-1,900116327;0;1
2755;0,627150585;-1,899385285;19;1
353;-0,427065171;-1,898856022;0;1
3909;0,483155086;-1,898281035;0;1
4795;2,133406514;-1,897855773;17;2
5945;-0,398395506;-1,897591173;0;1
4908;2,123013486;-1,896860712;14;2
2210;-1,225804558;-1,896631126;0;1
3416;0,873465683;-1,896343962;9;1
4312;1,953030378;-1,896281012;18;2
30;1,691031093;-1,895754597;14;2
2020;1,249414003;-1,895194656;27;2
3134;-1,827327678;-1,895173247;0;1
2335;-0,128489336;-1,895164831;0;1
5965;-0,184980033;-1,89469342;0;1
884;-1,927998734;-1,893673719;0;1
691;-1,370562343;-1,891256784;0;1
5380;1,032324431;-1,890915405;15;2
2525;-0,726018681;-1,890042768;0;1
2244;0,336679888;-1,890026843;0;1
988;0,377806587;-1,887433229;0;1
4900;1,614005355;-1,887367055;18;2
199;-0,611956355;-1,886843636;0;1
4324;0,674982224;-1,886053978;10;1
5173;-0,436080096;-1,885686753;0;1
1760;-1,074968157;-1,88450196;0;1
3493;1,569735486;-1,884172491;15;2
2322;-0,348803912;-1,883100548;0;1
2371;0,918365687;-1,881279888;16;1
3135;-1,86478774;-1,88040576;0;1
4879;0,181487196;-1,880081918;0;1
5431;0,521501199;-1,879291207;18;1
602;1,955944431;-1,878698754;15;2
2282;0,581446725;-1,878450408;24;1
337;0,361208641;-1,87820212;0;1
3867;-1,47632206;-1,878178713;0;1
3686;-1,470307907;-1,877856863;0;1
1503;0,894872068;-1,877055593;8;2
5885;0,106839689;-1,875953089;0;1
2385;0,319648007;-1,874924719;0;1
3461;0,320009828;-1,874535605;0;1
453;0,288693744;-1,874260849;0;1
4905;1,134975403;-1,874257538;24;2
5908;1,26112858;-1,874189384;9;2
2610;0,380345162;-1,873813561;0;1
1130;-1,131752178;-1,87214899;0;1
1041;1,548583148;-1,871723812;14;2
1596;-0,770195853;-1,869811751;0;1
99;-2,098728352;-1,868967115;0;1
402;0,618433184;-1,868753118;23;1
2009;1,00892585;-1,86868514;17;2
4711;-0,260123127;-1,868347075;0;1
4423;-1,817653998;-1,867249741;0;1
1324;1,843062735;-1,866317526;21;2
2913;-0,343626528;-1,863379361;0;1
192;-1,502393021;-1,862975984;0;1
1986;-1,460703846;-1,862758063;0;1
875;1,337977247;-1,862375991;17;2
5951;-1,134390395;-1,862288664;0;1
5346;0,59992285;-1,862047531;21;1
4270;-0,383665172;-1,860782924;0;1
214;-0,620044025;-1,860208058;0;1
2925;1,551192001;-1,8578808;26;2
3552;0,277278558;-1,857435934;0;1
4724;1,308304464;-1,856652057;28;2
4346;2,252092834;-1,855833283;17;2
152;-1,241491193;-1,854166488;0;1
286;1,104255707;-1,853656321;18;2
4136;-1,298818546;-1,853576128;0;1
3163;-1,960806967;-1,852040025;0;1
4800;-1,344289996;-1,85191745;0;1
1100;0,375176111;-1,85179319;0;1
5559;1,602266322;-1,85164544;18;2
5242;1,053111911;-1,85004165;11;2
3089;-0,294650597;-1,849061651;0;1
4439;-1,399077742;-1,848661141;0;1
379;0,856236306;-1,848278211;9;1
1080;-0,803402547;-1,848269543;0;1
5259;1,392662417;-1,847502563;20;2
55;1,077646534;-1,847386439;20;2
66;1,6744237;-1,846921157;11;2
384;-0,567410713;-1,84542573;0;1
4589;1,17284354;-1,84527657;22;2
5546;-1,888363761;-1,845160506;0;1
5351;-1,546008138;-1,843913386;0;1
5794;-1,656728622;-1,843402281;0;1
103;-0,439769551;-1,841960264;0;1
1671;1,787131926;-1,841886015;19;2
1736;1,117082882;-1,840313723;8;2
1335;-1,906653337;-1,839093945;0;1
4741;-0,324471575;-1,838917834;0;1
3110;0,208288488;-1,838475723;0;1
3733;-0,848270629;-1,836984842;0;1
5322;-1,165780375;-1,835390495;0;1
1073;0,646903494;-1,835230208;14;1
967;1,253340632;-1,834873908;23;2
2101;-1,17841899;-1,833346378;0;1
3582;1,332845149;-1,833271934;20;2
1344;-1,839049104;-1,832505121;0;1
3528;1,376718519;-1,831878128;22;2
5458;-1,014021761;-1,83099631;0;1
2195;-1,39623516;-1,830665393;0;1
892;1,029172629;-1,830394364;18;1
159;-0,684125127;-1,830222417;0;1
4321;0,661242853;-1,830122125;10;1
5610;-0,082582439;-1,830016265;0;1
4513;-1,519503995;-1,828114876;0;1
5095;-0,461976416;-1,826056576;0;1
92;-1,899544277;-1,825343589;0;1
1512;1,169901676;-1,825306227;14;2
5865;1,187300765;-1,824773172;27;2
4690;-0,468758332;-1,823025209;0;1
5300;0,499992803;-1,820134508;28;1
2596;-1,629338138;-1,819993209;0;1
416;-0,370109117;-1,819955652;0;1
2827;-1,267248481;-1,819749238;0;1
4943;1,256851543;-1,816239342;14;2
4864;-0,140461591;-1,816221962;0;1
3802;1,133428667;-1,816106517;30;2
1278;1,769146072;-1,815685116;9;2
3947;0,414254197;-1,815182927;0;1
4460;-1,872528334;-1,81511372;0;1
5068;-0,231448449;-1,813644768;0;1
3076;0,444654838;-1,813468303;0;1
142;0,244537794;-1,812759184;0;1
5485;-0,463525325;-1,812024069;0;1
3259;0,743644664;-1,811953736;30;1
5061;1,705012703;-1,811881794;27;2
3905;0,190019264;-1,811326823;0;1
3042;1,213253734;-1,811140414;28;2
2658;1,513083384;-1,810361441;24;2
3205;0,395951229;-1,809979831;0;1
4704;-1,313300585;-1,809965333;0;1
4180;0,137916614;-1,806791574;0;1
1737;-1,362019108;-1,806780776;0;1
2125;-1,540499135;-1,806682125;0;1
102;-1,772593407;-1,80653812;0;1
3648;-0,599378208;-1,805741349;0;1
664;0,774208833;-1,804967367;13;1
2062;0,094313711;-1,80480605;0;1
304;-0,638966715;-1,804545365;0;1
2136;-1,646501926;-1,80252635;0;1
1178;-0,508680458;-1,802494546;0;1
4294;1,391614332;-1,802472324;18;2
1139;1,755760377;-1,802059451;15;2
5788;1,799356545;-1,801490493;15;2
1281;-0,104119848;-1,801152235;0;1
1516;-0,373143645;-1,800412096;0;1
1884;0,189041875;-1,800088528;0;1
914;0,499713809;-1,799676285;29;1
968;0,203103663;-1,799517393;0;1
462;-0,507830762;-1,799141465;0;1
2743;-0,16331416;-1,798851057;0;1
2557;-1,390036424;-1,798464971;0;1
4051;-1,582569153;-1,79620798;0;1
5673;-1,556420771;-1,795621408;0;1
3661;1,435800293;-1,79399635;26;2
1580;-0,180335411;-1,792240483;0;1
3667;-1,381478616;-1,791957812;0;1
1500;-1,800429682;-1,791302542;0;1
886;-1,992010136;-1,790919238;0;1
2479;-0,332863969;-1,790536938;0;1
2013;0,451576453;-1,789481476;0;1
5004;0,082546138;-1,788803349;0;1
5703;1,806112237;-1,788759204;14;2
43;-1,046208709;-1,787342317;0;1
717;0,020444069;-1,787178569;0;1
5366;1,663082451;-1,787150265;22;2
2648;-1,685487111;-1,786829749;0;1
2142;0,250959997;-1,78665834;0;1
4204;-0,478308207;-1,786644279;0;1
4332;-1,101010951;-1,785080346;0;1
5258;-1,460451432;-1,784219594;0;1
4922;0,395618545;-1,782278831;0;1
5525;-0,40401585;-1,781908667;0;1
5810;-0,223227659;-1,781109049;0;1
3249;1,52819507;-1,780678713;16;2
5899;-1,705955093;-1,78050765;0;1
1615;-1,380519544;-1,779524913;0;1
4225;-0,357149037;-1,778766554;0;1
3499;-1,07604383;-1,777775769;0;1
3996;0,538686415;-1,777763279;22;1
3074;-0,176256352;-1,776814419;0;1
3221;-1,07088481;-1,775645664;0;1
2882;0,599994646;-1,775228023;15;1
1998;0,968628773;-1,775195308;22;1
4907;-0,831498072;-1,774990202;0;1
5461;-1,112960258;-1,774832746;0;1
3185;-0,079027264;-1,774716609;0;1
2762;0,731174135;-1,774372101;22;1
4433;-1,266858725;-1,77326797;0;1
2186;1,634250884;-1,772821988;19;2
2926;0,602612406;-1,772459662;20;1
5212;-1,285642543;-1,771119412;0;1
3930;-1,88602326;-1,770121995;0;1
4285;1,725908824;-1,769990242;18;2
1387;-1,423919698;-1,769730687;0;1
3934;-0,900853609;-1,769631197;0;1
3402;-1,293158864;-1,768684322;0;1
1409;-1,221462767;-1,766810571;0;1
4707;-0,744124124;-1,766120503;0;1
653;0,812692283;-1,765265357;20;1
133;-0,472825346;-1,764635167;0;1
3115;-1,330041009;-1,763209918;0;1
3633;-1,288097604;-1,760893972;0;1
2773;-1,896603622;-1,76072492;0;1
5632;1,300212345;-1,759146297;12;2
1087;-0,014068529;-1,758654058;0;1
3061;-1,576674149;-1,758072158;0;1
723;-0,613112148;-1,75737079;0;1
943;-0,879534722;-1,753899798;0;1
3550;1,816004972;-1,753100229;19;2
73;0,984143784;-1,7510415;29;2
851;0,684963478;-1,751034938;24;1
1111;-0,038564687;-1,751014684;0;1
2336;-0,429443906;-1,750591951;0;1
3850;1,660290511;-1,75048534;20;2
3741;1,690980717;-1,750451871;10;2
2833;0,502110685;-1,74957846;11;1
5781;-0,321068814;-1,749376624;0;1
5987;1,429114481;-1,749121563;27;2
4525;1,754521955;-1,749103633;23;2
444;1,688867157;-1,746536551;8;2
4527;-1,712916229;-1,744341038;0;1
3918;-1,643768655;-1,744185313;0;1
838;-1,496426107;-1,743807956;0;1
4170;-0,237502865;-1,743108708;0;1
4409;-0,256057465;-1,742153904;0;1
352;0,462125418;-1,740747525;0;1
690;0,736231897;-1,740321656;15;1
196;0,701800681;-1,740142577;14;1
1029;0,877887325;-1,738221604;21;1
3204;0,331212067;-1,737318107;0;1
3413;0,809263495;-1,737269516;28;1
5296;-1,717862647;-1,737020244;0;1
897;-1,338670603;-1,736169754;0;1
611;-1,518344131;-1,734905007;0;1
891;1,65143783;-1,734830631;22;2
3827;-0,4162132;-1,732242122;0;1
408;0,766551813;-1,732051597;26;1
3344;-0,792888009;-1,730850665;0;1
2224;-1,71939036;-1,730143892;0;1
5051;-1,315711284;-1,729914441;0;1
1053;-0,002736668;-1,72946459;0;1
708;-0,337588977;-1,729334413;0;1
4954;1,755467982;-1,729049254;11;2
3196;0,387698865;-1,728816907;0;1
684;-2,058338644;-1,728113272;0;1
5246;0,45042711;-1,728051431;0;1
4579;0,838739997;-1,725929673;8;1
4833;-0,671242958;-1,724721486;0;1
642;1,85818269;-1,723537488;26;2
228;-1,268591026;-1,723301258;0;1
2721;0,418579351;-1,723156377;0;1
4453;-1,702812331;-1,722877267;0;1
4961;0,337985498;-1,722141596;0;1
3396;1,626876509;-1,721509384;28;2
106;0,607082415;-1,7203412;28;1
1351;0,539200951;-1,72003583;27;1
3823;1,466186577;-1,718755037;16;2
5807;1,569615352;-1,718358815;27;2
1876;0,802156551;-1,718205254;23;1
1360;-1,252924831;-1,718057378;0;1
4452;-0,068376499;-1,717651031;0;1
4580;-0,080431288;-1,716875974;0;1
1582;-0,056568869;-1,716855657;0;1
5232;-0,630868655;-1,716158631;0;1
1132;0,290859608;-1,715311558;0;1
4997;-1,510268396;-1,7146445;0;1
4534;0,384448462;-1,71285482;0;1
4927;-1,224772563;-1,712175267;0;1
472;1,320698326;-1,71131096;21;2
501;-1,219508538;-1,709819083;0;1
2097;-0,657910656;-1,708976932;0;1
3452;2,050595598;-1,707189443;10;2
5941;-1,144903185;-1,707187402;0;1
3166;-0,544751071;-1,707002959;0;1
4616;-1,400689131;-1,706883247;0;1
2790;0,193505494;-1,706405698;0;1
5303;-0,918971505;-1,705926073;0;1
1742;0,762336747;-1,705416693;28;1
3044;0,138827919;-1,705183079;0;1
5113;-1,680633565;-1,703687671;0;1
3255;-1,482987448;-1,702436799;0;1
3992;0,808184885;-1,702108918;17;1
476;-1,512929595;-1,70092846;0;1
2671;-0,42743693;-1,699753848;0;1
2820;1,165845363;-1,698938589;25;2
2661;0,627272179;-1,698651412;20;1
4739;0,971214779;-1,69838723;29;2
82;0,398458331;-1,69759287;0;1
461;1,021760336;-1,697201773;18;2
5062;0,919990722;-1,696899293;9;1
1854;-1,40374245;-1,696641947;0;1
4845;-1,056623488;-1,696376956;0;1
4215;-0,619839146;-1,696279855;0;1
3274;1,325199151;-1,69569748;24;2
1289;1,794854912;-1,69514999;15;2
2147;0,975447031;-1,695065473;16;1
4384;1,245407926;-1,69487049;17;2
343;-0,465817153;-1,694788456;0;1
5936;1,76619146;-1,69477276;9;2
5341;-1,794806911;-1,69422932;0;1
2033;0,26365447;-1,693381622;0;1
5961;-1,825219019;-1,693088192;0;1
2771;-0,113757169;-1,692752094;0;1
198;-0,348121065;-1,692184258;0;1
3011;-0,612930684;-1,690762294;0;1
4298;-1,450606053;-1,69050181;0;1
