Invoice ID;Rating
101-17-6199;7
101-81-4070;4,9
102-06-2002;6,1
102-77-2261;4,2
105-10-6182;6,6
105-31-1824;8,5
106-35-6779;5,8
109-28-2512;9,9
109-86-4363;4,5
110-05-6330;9,4
110-48-7033;9
114-35-5271;8,1
115-38-7388;9,5
115-99-4379;8,5
118-62-1812;7,9
120-06-4233;9,3
120-54-2248;8
122-61-9553;5,6
123-19-1176;8,4
123-35-4896;5,3
124-31-1458;6,6
125-45-2293;4,2
126-54-1082;8,8
127-47-6963;9,8
129-29-8530;7
130-67-4723;9,4
130-98-8941;5,7
131-15-8856;4
131-70-8179;4,2
132-23-6451;7,8
132-32-9879;9,5
133-14-7229;5
133-77-3154;9,4
134-54-4720;5,7
134-75-2619;6,9
135-13-8269;9,1
135-84-8019;7,6
136-08-6195;6,4
137-63-5492;9
137-74-8729;6,8
138-17-5109;6,5
139-20-0155;7
139-32-4183;7,4
139-52-2867;4,8
142-63-6033;4,9
142-72-4741;6
144-51-6085;4,4
145-94-9061;9,6
146-09-5432;4,6
148-41-7930;6,1
148-82-2527;8,4
149-14-0304;6,6
149-15-7606;5,1
149-61-1929;6,7
149-71-6266;4,5
150-89-8043;6,2
151-16-1484;6,5
151-27-8496;8,6
151-33-7434;6,5
152-03-4217;4,3
152-08-9985;8,6
152-68-2907;9,5
153-58-4872;4,2
154-74-7179;7,9
154-87-7367;6,3
155-45-3814;4,7
156-20-0370;5,1
156-95-3964;8
157-13-5295;6,5
160-22-2687;8,8
162-48-8011;8,5
162-65-8559;4,8
163-56-7055;4,1
166-19-2553;9,9
169-52-4504;5,8
172-42-8274;5,8
173-50-1108;5
173-57-2300;6,1
173-82-9529;9,7
174-36-3675;5,2
174-64-0215;8,9
174-75-0888;7,3
175-54-2529;9,6
176-64-7711;4,3
176-78-1170;7,3
181-82-6255;7
181-94-6432;9,7
182-52-7000;6,9
182-69-8360;4
182-88-2763;5
183-21-3799;7,2
183-56-6882;7,5
186-09-3669;9,2
186-43-8965;4,1
186-71-5196;6,2
186-79-9562;8,9
187-83-5490;4,7
188-55-0967;5
189-08-9157;5,9
189-17-4241;7,7
189-40-5216;6
189-52-0236;7,6
189-55-2313;6
189-98-2939;7,2
190-14-3147;6,4
190-59-3964;6
191-10-6171;7,5
191-29-0321;5
192-98-7397;9,5
195-06-0432;9,3
196-01-2849;9,5
197-77-7132;6
198-66-9832;9,5
198-84-7132;7
199-75-8169;8,6
200-16-5952;6
200-40-6154;5,7
201-63-8275;5,7
201-86-2184;9,9
207-73-1363;8,1
209-61-0206;6,1
210-30-7976;4,1
210-57-1719;9,7
210-67-5886;7,8
210-74-9613;6,8
211-05-0490;7,5
211-30-9270;4,9
212-62-1842;9,9
213-32-1216;7,3
213-72-6612;6,2
214-17-6927;9,9
214-30-2776;9
217-58-1179;4,2
218-59-9410;8,2
219-22-9386;4,2
219-61-4139;6,4
220-28-1851;9,7
220-68-6701;4,2
221-25-5073;8,5
222-42-0244;7,7
225-32-0908;8,2
225-98-1496;7,1
